,epsilon_progress,nfe
0,0,0
1,28,100
2,66,1100
3,98,2100
4,109,3100
5,129,4100
6,156,5100
7,173,6100
8,184,7100
9,196,8100
10,205,9100
11,218,10406
12,261,11490
13,369,12574
14,420,13658
15,442,14742
16,467,15826
17,488,16910
18,516,17994
19,541,19078
20,550,20162
21,556,21246
22,560,22330
23,567,23414
24,574,24498
25,578,25582
26,580,26666
27,581,27750
28,581,28834
29,583,29918
30,584,31002
31,584,32086
32,584,33170
33,585,34254
34,586,35338
35,586,36422
36,587,37506
37,589,38590
38,590,39674
39,590,40758
40,591,41842
41,593,42926
42,594,44010
43,595,45094
44,595,46178
45,595,47262
46,597,48346
47,597,49430
48,599,50514
49,601,51598
50,603,52682
51,604,53766
52,606,54850
53,611,55934
54,617,57018
55,619,58102
56,620,59186
57,622,60270
58,622,61354
59,627,62438
60,629,63522
61,630,64606
62,638,65854
63,649,67518
64,780,69182
65,1000,70846
66,1094,72510
67,1120,74174
68,1148,75838
69,1166,77502
70,1177,79166
71,1185,80830
72,1192,82494
73,1202,84158
74,1217,85822
75,1227,87486
76,1234,89150
77,1241,90814
78,1247,92478
79,1253,94142
80,1259,95806
81,1263,97470
82,1272,99134
