,epsilon_progress,nfe
0,0,0
1,9,100
2,16,1100
3,16,2100
4,16,3100
5,16,4100
6,16,5100
7,16,6100
8,16,7100
9,16,8100
10,16,9100
11,18,10126
12,19,11138
13,19,12150
14,19,13162
15,19,14174
16,19,15186
17,19,16198
18,19,17210
19,19,18222
20,19,19234
21,19,20246
22,19,21258
23,19,22270
24,19,23282
25,19,24294
26,19,25306
27,19,26318
28,19,27330
29,19,28342
30,19,29354
31,19,30366
32,19,31378
33,19,32390
34,19,33402
35,19,34414
36,19,35426
37,19,36438
38,19,37450
39,19,38462
40,19,39474
41,19,40486
42,19,41498
43,19,42510
44,19,43522
45,19,44534
46,19,45546
47,19,46558
48,19,47570
49,19,48582
50,19,49594
51,19,50606
52,19,51618
53,19,52630
54,19,53642
55,19,54654
56,19,55666
57,25,56668
58,25,57694
59,25,58720
60,25,59746
61,25,60772
62,28,61844
63,29,62858
64,29,63872
65,29,64886
66,29,65900
67,29,66914
68,29,67928
69,29,68942
70,29,69956
71,29,70970
72,29,71984
73,29,72998
74,29,74012
75,29,75026
76,29,76040
77,29,77054
78,29,78068
79,29,79082
80,29,80096
81,29,81110
82,29,82124
83,29,83138
84,29,84152
85,29,85166
86,29,86180
87,29,87194
88,29,88208
89,29,89222
90,29,90236
91,30,91250
92,30,92264
93,30,93278
94,30,94292
95,30,95306
96,30,96320
97,30,97334
98,30,98348
99,30,99362
100,30,100376
101,30,101390
102,30,102404
103,30,103418
104,30,104432
105,30,105446
106,30,106460
107,30,107474
108,30,108488
109,30,109502
110,30,110516
111,30,111530
112,30,112544
113,30,113558
114,30,114572
115,30,115586
116,30,116600
117,30,117614
118,30,118628
119,30,119642
120,30,120656
121,30,121670
122,30,122684
123,30,123698
124,30,124712
125,30,125726
126,30,126740
127,30,127754
128,30,128768
129,30,129782
130,30,130796
131,30,131810
132,30,132824
133,30,133838
134,30,134852
135,30,135866
136,30,136880
137,30,137894
138,30,138908
139,31,139988
140,31,141044
141,31,142100
142,31,143156
143,31,144212
144,31,145268
145,31,146324
146,31,147380
147,31,148436
148,31,149492
149,31,150548
150,31,151604
151,31,152660
152,31,153716
153,31,154772
154,31,155828
155,31,156884
156,31,157940
157,31,158996
158,31,160052
159,31,161108
160,31,162164
161,31,163220
162,31,164276
163,31,165332
164,31,166388
165,31,167444
166,31,168500
167,31,169556
168,31,170612
169,31,171668
170,31,172724
171,31,173780
172,31,174836
173,31,175892
174,31,176948
175,31,178004
176,31,179060
177,31,180116
178,31,181172
179,31,182228
180,31,183284
181,31,184340
182,31,185396
183,31,186452
184,31,187508
185,31,188564
186,31,189620
187,31,190676
188,31,191732
189,31,192788
190,31,193844
191,31,194900
192,31,195956
193,31,197012
194,31,198068
195,31,199124
196,31,200180
197,31,201236
198,31,202292
199,31,203348
200,31,204404
201,31,205460
202,31,206516
203,31,207572
204,31,208628
205,31,209684
206,31,210740
207,31,211796
208,31,212852
209,31,213908
210,31,214964
211,31,216020
212,31,217076
213,31,218132
214,31,219188
215,31,220244
216,31,221300
217,31,222356
218,31,223412
219,31,224468
220,31,225524
221,31,226580
222,31,227636
223,31,228692
224,31,229748
225,31,230804
226,31,231860
227,31,232916
228,31,233972
229,31,235028
230,34,236088
231,34,237108
232,34,238128
233,34,239148
234,34,240168
235,34,241188
236,34,242208
237,34,243228
238,34,244248
239,34,245268
240,34,246288
241,34,247308
242,34,248328
243,34,249348
244,34,250368
245,34,251388
246,34,252408
247,34,253428
248,34,254448
249,34,255468
250,34,256488
251,34,257508
252,34,258528
253,34,259548
254,34,260568
255,34,261588
256,34,262608
257,34,263628
258,34,264648
259,34,265668
260,34,266688
261,34,267708
262,34,268728
263,34,269748
264,34,270768
265,34,271788
266,34,272808
267,34,273828
268,34,274848
269,34,275868
270,34,276888
271,34,277908
272,34,278928
273,34,279948
274,34,280968
275,34,281988
276,34,283008
277,34,284028
278,34,285048
279,34,286068
280,34,287088
281,34,288108
282,34,289128
283,34,290148
284,34,291168
285,34,292188
286,34,293208
287,34,294228
288,34,295248
289,34,296268
290,34,297288
291,34,298308
292,34,299328
293,34,300348
294,34,301368
295,34,302388
296,34,303408
297,34,304428
298,34,305448
299,34,306468
300,34,307488
301,34,308508
302,34,309528
303,34,310548
304,34,311568
305,34,312588
306,34,313608
307,34,314628
308,34,315648
309,34,316668
310,34,317688
311,34,318708
312,34,319728
313,34,320748
314,34,321768
315,34,322788
316,34,323808
317,34,324828
318,34,325848
319,34,326868
320,34,327888
321,34,328908
322,34,329928
323,34,330948
324,34,331968
325,34,332988
326,34,334008
327,34,335028
328,34,336048
329,34,337068
330,39,338100
331,39,339108
332,39,340116
333,39,341124
334,39,342132
335,39,343140
336,39,344148
337,39,345156
338,39,346164
339,39,347172
340,39,348180
341,39,349188
342,39,350196
343,39,351204
344,39,352212
345,39,353220
346,39,354228
347,39,355236
348,39,356244
349,39,357252
350,39,358260
351,39,359268
352,39,360276
353,39,361284
354,39,362292
355,39,363300
356,39,364308
357,39,365316
358,39,366324
359,39,367332
360,39,368340
361,39,369348
362,39,370356
363,39,371364
364,39,372372
365,39,373380
366,39,374388
367,39,375396
368,39,376404
369,39,377412
370,39,378420
371,39,379428
372,39,380436
373,39,381444
374,39,382452
375,39,383460
376,39,384468
377,39,385476
378,39,386484
379,39,387492
380,39,388500
381,39,389508
382,39,390516
383,39,391524
384,39,392532
385,39,393540
386,39,394548
387,39,395556
388,39,396564
389,39,397572
390,39,398580
391,39,399588
392,39,400596
393,39,401604
394,39,402612
395,39,403620
396,39,404628
397,39,405636
398,39,406644
399,39,407652
400,39,408660
401,39,409668
402,39,410676
403,39,411684
404,39,412692
405,39,413700
406,39,414708
407,39,415716
408,39,416724
409,39,417732
410,39,418740
411,39,419748
412,39,420756
413,39,421764
414,39,422772
415,39,423780
416,39,424788
417,39,425796
418,39,426804
419,39,427812
420,39,428820
421,39,429828
422,39,430836
423,39,431844
424,39,432852
425,39,433860
426,39,434868
427,39,435876
428,39,436884
429,39,437892
430,39,438900
431,39,439908
432,39,440916
433,39,441924
434,39,442932
435,39,443940
436,39,444948
437,39,445956
438,39,446964
439,39,447972
440,39,448980
441,42,450094
442,44,451174
443,44,452254
444,45,453334
445,45,454414
446,45,455494
447,45,456574
448,45,457654
449,45,458734
450,45,459814
451,45,460894
452,45,461974
453,45,463054
454,45,464134
455,45,465214
456,45,466294
457,45,467374
458,45,468454
459,45,469534
460,45,470614
461,45,471694
462,45,472774
463,45,473854
464,45,474934
465,45,476014
466,45,477094
467,45,478174
468,45,479254
469,45,480334
470,45,481414
471,45,482494
472,45,483574
473,45,484654
474,45,485734
475,45,486814
476,45,487894
477,45,488974
478,45,490054
479,45,491134
480,45,492214
481,45,493294
482,45,494374
483,45,495454
484,45,496534
485,45,497614
486,45,498694
487,45,499774
